,Open,High,Low,Volume,Dividends,Stock Splits,Adjusted Close,compound,negative,neutral,positive
2012-06-04,9.035714149475098,9.319999694824219,8.90999984741211,35291200,0.0,1.0,9.285714149475098,-0.9998,0.14,0.774,0.086
2012-06-05,9.287142753601074,9.475713729858398,9.178570747375488,24048500,0.0,1.0,9.261428833007812,-0.9998,0.138,0.779,0.084
2012-06-06,9.380000114440918,9.767143249511719,9.307143211364746,30676800,0.0,1.0,9.411429405212402,-0.9999,0.152,0.772,0.076
2012-06-07,9.514286041259766,9.557143211364746,9.20142936706543,21045500,0.0,1.0,9.234286308288574,-0.9998,0.142,0.781,0.077
2012-06-08,9.195713996887207,9.445713996887207,9.104286193847656,22017100,0.0,1.0,9.377142906188965,-0.9998,0.147,0.767,0.085
2012-06-11,9.484286308288574,9.512857437133789,8.997142791748047,22941100,0.0,1.0,9.0,-0.9998,0.147,0.765,0.089
2012-06-12,9.037142753601074,9.194286346435547,8.907142639160156,20797700,0.0,1.0,9.002857208251953,-0.9995,0.122,0.787,0.091
2012-06-13,8.942856788635254,9.205714225769043,8.875714302062988,17924900,0.0,1.0,8.975713729858398,-0.9997,0.129,0.79,0.082
2012-06-14,8.970000267028809,9.021429061889648,8.717143058776855,26137300,0.0,1.0,8.95142936706543,-0.9997,0.132,0.78,0.087
2012-06-15,9.03857135772705,9.418571472167969,8.96142864227295,33022500,0.0,1.0,9.398571014404297,-0.9992,0.114,0.802,0.084
2012-06-18,9.294285774230957,9.564286231994629,9.255714416503906,22997800,0.0,1.0,9.532856941223145,-0.9998,0.144,0.775,0.081
2012-06-19,9.557143211364746,10.068571090698242,9.507143020629883,27706700,0.0,1.0,9.975713729858398,-0.9997,0.127,0.786,0.087
2012-06-20,9.925713539123535,9.935713768005371,9.658571243286133,26638500,0.0,1.0,9.737142562866211,-0.9998,0.137,0.782,0.08
2012-06-21,9.751428604125977,9.777142524719238,9.39285659790039,17690400,0.0,1.0,9.40571403503418,-0.9998,0.136,0.791,0.073
2012-06-22,9.462857246398926,9.752857208251953,9.385713577270508,18074700,0.0,1.0,9.694286346435547,-0.9999,0.145,0.786,0.068
2012-06-25,9.687143325805664,9.932856559753418,9.485713958740234,30746100,0.0,1.0,9.575714111328125,-0.9998,0.136,0.782,0.082
2012-06-26,9.601428985595703,9.672857284545898,9.477143287658691,15611400,0.0,1.0,9.54285717010498,-0.9999,0.148,0.774,0.077
2012-06-27,9.575714111328125,9.60714340209961,9.371429443359375,15383200,0.0,1.0,9.498571395874023,-0.9999,0.156,0.766,0.078
2012-06-28,9.442856788635254,9.722857475280762,9.397143363952637,15090600,0.0,1.0,9.622857093811035,-0.9999,0.156,0.773,0.07
2012-06-29,9.757143020629883,9.822856903076172,9.54714298248291,19991300,0.0,1.0,9.784285545349121,-0.9999,0.148,0.774,0.078
2012-07-02,9.824286460876465,9.842857360839844,9.60714340209961,12992700,0.0,1.0,9.692856788635254,-0.9998,0.142,0.784,0.074
2012-07-03,9.784285545349121,10.397143363952637,9.672857284545898,25261600,0.0,1.0,10.291428565979004,-0.9999,0.148,0.776,0.076
2012-07-05,10.618571281433105,11.842857360839844,10.60857105255127,104498100,0.0,1.0,11.674285888671875,-0.9998,0.135,0.789,0.076
2012-07-06,11.962857246398926,12.199999809265137,11.460000038146973,85261400,0.0,1.0,11.69857120513916,-0.9998,0.135,0.793,0.073
2012-07-09,11.854286193847656,12.027142524719238,11.449999809265137,43262800,0.0,1.0,11.855713844299316,-0.9998,0.149,0.759,0.092
2012-07-10,11.960000038146973,11.971428871154785,11.361429214477539,35242200,0.0,1.0,11.46142864227295,-0.9998,0.143,0.767,0.09
2012-07-11,11.442856788635254,12.124285697937012,11.411429405212402,43044400,0.0,1.0,11.662857055664062,-0.9996,0.128,0.789,0.083
2012-07-12,11.645713806152344,12.214285850524902,11.5,41447700,0.0,1.0,12.138570785522461,-0.9997,0.141,0.772,0.088
2012-07-13,12.25428581237793,12.378570556640625,11.988571166992188,39032000,0.0,1.0,12.128570556640625,-0.9999,0.154,0.775,0.071
2012-07-16,12.158571243286133,12.221428871154785,11.804286003112793,20946800,0.0,1.0,11.854286193847656,-0.9997,0.139,0.771,0.091
2012-07-17,11.89285659790039,11.927143096923828,11.524286270141602,27820800,0.0,1.0,11.682856559753418,-0.9999,0.157,0.76,0.083
2012-07-18,11.60714340209961,11.84428596496582,11.534285545349121,21576100,0.0,1.0,11.609999656677246,-0.9999,0.16,0.768,0.072
2012-07-19,11.708571434020996,12.118571281433105,11.645713806152344,29133300,0.0,1.0,11.874285697937012,-0.9999,0.156,0.764,0.081
2012-07-20,11.808570861816406,11.931428909301758,11.64285659790039,24369800,0.0,1.0,11.688570976257324,-0.9999,0.148,0.781,0.07
2012-07-23,11.532856941223145,11.602856636047363,11.214285850524902,30965200,0.0,1.0,11.420000076293945,-0.9991,0.118,0.787,0.095
2012-07-24,11.581428527832031,11.781429290771484,11.115714073181152,64700300,0.0,1.0,11.484286308288574,-0.9998,0.138,0.783,0.079
2012-07-25,9.172857284545898,9.54285717010498,8.45714282989502,173470500,0.0,1.0,8.611429214477539,-0.9999,0.155,0.764,0.08
2012-07-26,8.472857475280762,8.494285583496094,8.020000457763672,79756600,0.0,1.0,8.144286155700684,-0.9999,0.155,0.756,0.089
2012-07-27,8.194286346435547,8.467143058776855,8.14285659790039,38009300,0.0,1.0,8.417142868041992,-0.9999,0.151,0.773,0.075
2012-07-30,8.418571472167969,8.565713882446289,8.04714298248291,29932700,0.0,1.0,8.25,-0.9997,0.144,0.755,0.1
2012-07-31,8.20714282989502,8.331428527832031,8.087142944335938,17320800,0.0,1.0,8.121429443359375,-0.9999,0.142,0.786,0.071
2012-08-01,8.204285621643066,8.25428581237793,7.728570938110352,33832400,0.0,1.0,7.785714149475098,-0.9999,0.158,0.756,0.086
2012-08-02,7.75428581237793,7.955714225769043,7.612856864929199,23945600,0.0,1.0,7.695713996887207,-0.9998,0.132,0.791,0.077
2012-08-03,7.8371429443359375,7.925714015960693,7.544285774230957,37295300,0.0,1.0,7.7014288902282715,-0.9998,0.15,0.762,0.088
2012-08-06,7.791429042816162,8.167142868041992,7.730000019073486,28527800,0.0,1.0,8.1128568649292,-0.9998,0.14,0.782,0.078
2012-08-07,8.135713577270508,8.49571418762207,8.078571319580078,30769900,0.0,1.0,8.271429061889648,-0.9999,0.157,0.772,0.072
2012-08-08,8.224286079406738,8.412857055664062,8.167142868041992,18194400,0.0,1.0,8.257143020629883,-0.9998,0.137,0.787,0.075
2012-08-09,8.227143287658691,8.350000381469727,8.178570747375488,16492700,0.0,1.0,8.272856712341309,-0.9998,0.147,0.767,0.086
2012-08-10,8.237142562866211,8.651429176330566,8.128570556640625,35032200,0.0,1.0,8.557143211364746,-0.9993,0.115,0.799,0.087
2012-08-13,8.74571418762207,8.75,8.35714340209961,33324900,0.0,1.0,8.558570861816406,-0.9993,0.137,0.755,0.108
2012-08-14,8.65999984741211,9.014286041259766,8.567143440246582,48119400,0.0,1.0,8.822856903076172,-0.9998,0.141,0.785,0.074
2012-08-15,8.861429214477539,9.097143173217773,8.831428527832031,30844100,0.0,1.0,9.037142753601074,-0.9998,0.15,0.751,0.099
2012-08-16,9.065713882446289,9.227143287658691,8.971428871154785,17630900,0.0,1.0,9.187143325805664,-0.9997,0.146,0.759,0.095
2012-08-17,9.268570899963379,9.359999656677246,9.072856903076172,22405600,0.0,1.0,9.098570823669434,-0.9999,0.156,0.766,0.078
2012-08-20,9.091428756713867,9.335714340209961,8.880000114440918,26658800,0.0,1.0,9.177143096923828,-0.9998,0.144,0.763,0.093
2012-08-21,9.305713653564453,9.521429061889648,9.235713958740234,23355500,0.0,1.0,9.371429443359375,-0.9996,0.131,0.78,0.089
2012-08-22,9.302857398986816,9.485713958740234,9.257143020629883,18030600,0.0,1.0,9.342857360839844,-0.9999,0.142,0.788,0.069
2012-08-23,9.431428909301758,9.491429328918457,9.082857131958008,32580800,0.0,1.0,9.149999618530273,-0.9999,0.155,0.763,0.082
2012-08-24,9.012857437133789,9.114286422729492,8.835714340209961,26161800,0.0,1.0,9.022856712341309,-0.9998,0.136,0.795,0.069
2012-08-27,9.045714378356934,9.138570785522461,8.894286155700684,18046700,0.0,1.0,8.912857055664062,-0.9985,0.12,0.78,0.1
2012-08-28,8.89142894744873,9.084285736083984,8.881428718566895,15859200,0.0,1.0,8.992856979370117,-0.9999,0.149,0.771,0.08
2012-08-29,9.007143020629883,9.121429443359375,8.935713768005371,15660400,0.0,1.0,9.062856674194336,-0.9999,0.152,0.772,0.076
2012-08-30,9.022856712341309,9.054286003112793,8.59571361541748,18679500,0.0,1.0,8.640000343322754,-0.9998,0.145,0.774,0.08
2012-08-31,8.758570671081543,8.789999961853027,8.441429138183594,29560300,0.0,1.0,8.531429290771484,-0.9998,0.138,0.79,0.072
2012-09-04,8.285714149475098,8.285714149475098,7.590000152587891,87416700,0.0,1.0,7.989999771118164,-0.9999,0.162,0.767,0.072
2012-09-05,7.942856788635254,7.954286098480225,7.7614288330078125,38565100,0.0,1.0,7.851428985595703,-0.9998,0.143,0.771,0.086
2012-09-06,7.944285869598389,8.1128568649292,7.737143039703369,37297400,0.0,1.0,8.092857360839844,-0.9999,0.144,0.784,0.072
2012-09-07,8.097143173217773,8.257143020629883,7.978570938110352,29617700,0.0,1.0,8.09428596496582,-0.9997,0.139,0.779,0.082
2012-09-10,8.04857063293457,8.147143363952637,7.944285869598389,24892700,0.0,1.0,7.9885711669921875,-0.9997,0.139,0.77,0.091
2012-09-11,7.985713958740234,8.195713996887207,7.871428966522217,33040000,0.0,1.0,8.165714263916016,-0.9984,0.118,0.781,0.101
2012-09-12,8.214285850524902,8.361429214477539,8.079999923706055,22096900,0.0,1.0,8.172857284545898,-0.9999,0.157,0.771,0.072
2012-09-13,8.124285697937012,8.311429023742676,8.012857437133789,24490900,0.0,1.0,8.285714149475098,-0.9999,0.153,0.772,0.075
2012-09-14,8.35714340209961,8.774286270141602,8.328571319580078,33067300,0.0,1.0,8.645713806152344,-0.9999,0.153,0.771,0.076
2012-09-17,8.425713539123535,8.428570747375488,8.109999656677246,36278900,0.0,1.0,8.145713806152344,-0.9994,0.124,0.786,0.09
2012-09-18,8.184286117553711,8.331428527832031,7.974286079406738,30298100,0.0,1.0,8.008570671081543,-0.9994,0.128,0.778,0.095
2012-09-19,8.105713844299316,8.271429061889648,7.9571428298950195,35348600,0.0,1.0,8.148571014404297,-0.9998,0.133,0.791,0.076
2012-09-20,8.0600004196167,8.398571014404297,8.057143211364746,37217600,0.0,1.0,8.39142894744873,-0.999,0.127,0.771,0.102
2012-09-21,8.489999771118164,8.531429290771484,8.20142936706543,30074800,0.0,1.0,8.255714416503906,-0.9994,0.127,0.778,0.094
2012-09-24,8.122857093811035,8.262857437133789,8.041428565979004,23661400,0.0,1.0,8.055713653564453,-0.9996,0.137,0.766,0.097
2012-09-25,8.10714340209961,8.1371431350708,7.67142915725708,41858600,0.0,1.0,7.685713768005371,-0.9998,0.14,0.783,0.077
2012-09-26,7.712856769561768,7.989999771118164,7.57857084274292,36625400,0.0,1.0,7.87571382522583,-0.9999,0.143,0.779,0.078
2012-09-27,7.980000019073486,8.014286041259766,7.737143039703369,21350700,0.0,1.0,7.935713768005371,-0.9999,0.15,0.773,0.077
2012-09-28,7.862856864929199,7.9728569984436035,7.74571418762207,15932700,0.0,1.0,7.7771430015563965,-0.9999,0.148,0.79,0.063
2012-10-01,7.800000190734863,8.085714340209961,7.762856960296631,30765700,0.0,1.0,8.007143020629883,-0.9996,0.133,0.777,0.091
2012-10-02,8.064286231994629,8.184286117553711,7.900000095367432,21589400,0.0,1.0,8.065713882446289,-0.9999,0.15,0.767,0.083
2012-10-03,8.341428756713867,8.949999809265137,8.321429252624512,76064800,0.0,1.0,8.9399995803833,-0.9998,0.144,0.777,0.079
2012-10-04,8.949999809265137,9.609999656677246,8.944286346435547,91616700,0.0,1.0,9.524286270141602,-0.9998,0.134,0.789,0.077
2012-10-05,9.579999923706055,9.742856979370117,9.302857398986816,59170300,0.0,1.0,9.508570671081543,-0.9998,0.139,0.779,0.082
2012-10-08,10.19857120513916,10.604286193847656,10.017143249511719,92280300,0.0,1.0,10.502857208251953,-0.9997,0.131,0.79,0.078
